image_id,filename,overall_score,hard_failure_reasons,score_focus,score_brightness,score_contrast,score_noise,score_fov,score_illumination,score_artifact
aptos_9033f1493da1,aptos_9033f1493da1.png,0.7903,"Severe Defocus Blur (NormLap=35.0 < 8.0, RawLap=3.54, Tenengrad=84.3)",0.4453,0.6316,0.9284,0.9502,1.0,1.0,1.0
aptos_9039cbfcbb2f,aptos_9039cbfcbb2f.png,0.6191,"Severe Defocus Blur (NormLap=5.3 < 8.0, RawLap=8.23, Tenengrad=158.5)",0.1857,0.4356,0.5029,0.9238,0.984,0.9187,1.0
aptos_9041eb43456e,aptos_9041eb43456e.png,0.7885,"Severe Defocus Blur (NormLap=36.4 < 8.0, RawLap=3.69, Tenengrad=111.2)",0.501,0.4555,1.0,0.9494,1.0,1.0,1.0
aptos_904b03ad5594,aptos_904b03ad5594.png,0.7183,Severe Underexposure (Retinal Mean Intensity=39.9 < 40.0),0.5774,0.2974,0.6077,0.93,0.9975,0.9559,1.0
aptos_905cc86bf100,aptos_905cc86bf100.png,0.8259,"Severe Defocus Blur (NormLap=39.4 < 8.0, RawLap=4.00, Tenengrad=104.0)",0.5137,0.6848,1.0,0.9474,1.0,1.0,1.0
aptos_90a9a41eec6d,aptos_90a9a41eec6d.png,0.7018,"Severe Defocus Blur (NormLap=5.4 < 8.0, RawLap=8.43, Tenengrad=224.9)",0.242,0.4535,1.0,0.9235,0.9839,0.8337,1.0
aptos_913490237ad4,aptos_913490237ad4.png,0.7737,"Severe Corneal Glare Artifacts (27 blobs, 0.87% saturation)",0.8749,0.7337,0.9099,0.9092,0.997,0.6799,0.0
aptos_91b7a4179ecf,aptos_91b7a4179ecf.png,0.6971,"Severe Defocus Blur (NormLap=6.9 < 8.0, RawLap=10.86, Tenengrad=351.4)",0.3139,0.4755,1.0,0.911,0.9839,0.5865,1.0
aptos_94f9ecf4b8d2,aptos_94f9ecf4b8d2.png,0.7336,"Severe Defocus Blur (NormLap=6.6 < 8.0, RawLap=10.30, Tenengrad=232.2)",0.2472,0.6787,1.0,0.9155,0.9839,0.809,1.0
aptos_97a235367f9d,aptos_97a235367f9d.png,0.7512,"Severe Defocus Blur (NormLap=7.9 < 8.0, RawLap=12.31, Tenengrad=383.9)",0.3281,0.6407,1.0,0.9041,0.9839,0.851,1.0
aptos_97bf61736b86,aptos_97bf61736b86.png,0.8208,"Severe Defocus Blur (NormLap=38.7 < 8.0, RawLap=3.92, Tenengrad=72.2)",0.4493,0.8167,0.9408,0.9485,1.0,1.0,1.0
aptos_99e8bf998285,aptos_99e8bf998285.png,0.7283,"Severe Defocus Blur (NormLap=37.1 < 8.0, RawLap=3.77, Tenengrad=44.0)",0.3786,0.932,0.3258,0.9494,1.0,1.0,1.0
aptos_9b70f84400af,aptos_9b70f84400af.png,0.7539,"Severe Defocus Blur (NormLap=6.7 < 8.0, RawLap=10.50, Tenengrad=447.6)",0.3528,0.7341,1.0,0.9142,0.984,0.6658,1.0
aptos_9eaac43744f5,aptos_9eaac43744f5.png,0.8098,"Severe Defocus Blur (NormLap=38.6 < 8.0, RawLap=3.92, Tenengrad=80.1)",0.4658,0.7252,0.9319,0.9475,1.0,1.0,1.0
aptos_9ed6c2b25767,aptos_9ed6c2b25767.png,0.6968,"Severe Defocus Blur (NormLap=5.2 < 8.0, RawLap=8.14, Tenengrad=267.6)",0.27,0.4797,1.0,0.9217,0.9839,0.6757,1.0
aptos_a015ce4f51ad,aptos_a015ce4f51ad.png,0.7837,"Severe Defocus Blur (NormLap=39.1 < 8.0, RawLap=3.96, Tenengrad=57.9)",0.4169,0.9861,0.5783,0.9482,1.0,1.0,1.0
aptos_a02dfd67a925,aptos_a02dfd67a925.png,0.7115,"Severe Defocus Blur (NormLap=7.4 < 8.0, RawLap=11.61, Tenengrad=277.2)",0.2757,0.6327,0.7729,0.9089,0.984,0.9323,1.0
aptos_a125377fb985,aptos_a125377fb985.png,0.7731,"Severe Defocus Blur (NormLap=38.7 < 8.0, RawLap=3.92, Tenengrad=71.2)",0.4472,0.4429,1.0,0.9482,1.0,1.0,1.0
aptos_a182b5b191de,aptos_a182b5b191de.png,0.8145,"Severe Defocus Blur (NormLap=38.4 < 8.0, RawLap=3.90, Tenengrad=100.0)",0.5,0.6312,1.0,0.9479,1.0,1.0,1.0
aptos_a1b28bcbce00,aptos_a1b28bcbce00.png,0.6843,"Severe Defocus Blur (NormLap=5.2 < 8.0, RawLap=8.12, Tenengrad=289.6)",0.2828,0.4706,1.0,0.9191,0.9839,0.5356,1.0
aptos_a1e236fbc863,aptos_a1e236fbc863.png,0.6642,"Severe Defocus Blur (NormLap=7.0 < 8.0, RawLap=10.93, Tenengrad=233.4)",0.248,0.4146,1.0,0.9138,0.9839,0.5101,1.0
aptos_a26f50218b84,aptos_a26f50218b84.png,0.682,"Severe Defocus Blur (NormLap=4.7 < 8.0, RawLap=7.31, Tenengrad=206.9)",0.2286,0.3933,1.0,0.9267,0.9839,0.7558,1.0
aptos_a3957df90a78,aptos_a3957df90a78.png,0.8015,"Severe Defocus Blur (NormLap=38.6 < 8.0, RawLap=3.91, Tenengrad=78.4)",0.4617,0.6085,1.0,0.9484,1.0,1.0,1.0
aptos_a3bd2e034614,aptos_a3bd2e034614.png,0.689,"Severe Defocus Blur (NormLap=19.5 < 8.0, RawLap=3.06, Tenengrad=31.5)",0.1932,0.3612,1.0,0.9562,0.9969,0.914,1.0
aptos_a45c30da0c72,aptos_a45c30da0c72.png,0.7168,"Severe Defocus Blur (NormLap=6.0 < 8.0, RawLap=9.44, Tenengrad=312.3)",0.2949,0.5921,1.0,0.9173,0.9839,0.6492,1.0
aptos_a77eb914b383,aptos_a77eb914b383.png,0.5783,Severe Sensor Saturation (Saturated Pixel Pct=1.57% > 1.5%); Severe Non-Uniform Illumination (Map CoV=0.615 > 0.52),0.6682,0.5145,0.642,0.5518,0.9839,0.35,0.0
aptos_a82a12ad3fb1,aptos_a82a12ad3fb1.png,0.7072,"Severe Defocus Blur (NormLap=4.8 < 8.0, RawLap=7.48, Tenengrad=220.9)",0.2392,0.5313,1.0,0.9281,0.9839,0.7736,1.0
aptos_a8b3c0961d42,aptos_a8b3c0961d42.png,0.687,"Severe Defocus Blur (NormLap=7.9 < 8.0, RawLap=12.27, Tenengrad=246.3)",0.2567,0.4289,0.9759,0.9086,0.9839,0.7364,1.0
aptos_aa31bc6b8f4d,aptos_aa31bc6b8f4d.png,0.8261,"Severe Defocus Blur (NormLap=35.1 < 8.0, RawLap=3.56, Tenengrad=90.8)",0.4583,0.776,1.0,0.9509,1.0,1.0,1.0
aptos_aa6242f9e08c,aptos_aa6242f9e08c.png,0.7972,Severe Flash Bleaching (Retinal Mean Intensity=140.8 > 140.0),0.8935,0.2559,1.0,0.7445,0.9517,0.9191,0.7633
aptos_af6a1508cd95,aptos_af6a1508cd95.png,0.7619,"Severe Corneal Glare Artifacts (5 blobs, 0.94% saturation)",0.7006,0.6855,1.0,0.9147,0.9958,0.9306,0.0
aptos_b085caa513a8,aptos_b085caa513a8.png,0.7105,"Severe Defocus Blur (NormLap=6.4 < 8.0, RawLap=9.97, Tenengrad=169.7)",0.1967,0.6279,1.0,0.9218,0.9839,0.7734,1.0
aptos_b55d2ddb3e75,aptos_b55d2ddb3e75.png,0.8093,"Severe Defocus Blur (NormLap=36.9 < 8.0, RawLap=3.75, Tenengrad=71.5)",0.4346,0.9431,0.7617,0.9497,1.0,1.0,1.0
aptos_b6304c545f95,aptos_b6304c545f95.png,0.6366,Severe Underexposure (Retinal Mean Intensity=29.3 < 40.0),0.5554,0.0,0.394,0.933,1.0,0.9537,1.0
aptos_b665041e1633,aptos_b665041e1633.png,0.7146,Severe Underexposure (Retinal Mean Intensity=35.3 < 40.0),0.573,0.207,0.6496,0.9306,0.9988,1.0,1.0
aptos_b67ae80f7eba,aptos_b67ae80f7eba.png,0.7026,"Severe Defocus Blur (NormLap=6.5 < 8.0, RawLap=10.16, Tenengrad=259.7)",0.2652,0.5136,1.0,0.916,0.9839,0.7009,1.0
aptos_b7e0f95353f2,aptos_b7e0f95353f2.png,0.7952,"Severe Defocus Blur (NormLap=35.8 < 8.0, RawLap=3.63, Tenengrad=67.7)",0.417,0.9363,0.7028,0.9505,1.0,1.0,1.0
aptos_b963a11638f2,aptos_b963a11638f2.png,0.5887,"Severe Defocus Blur (NormLap=4.8 < 8.0, RawLap=7.54, Tenengrad=119.8)",0.1407,0.3901,0.4293,0.9285,0.9839,0.9017,1.0
aptos_b99794a0beed,aptos_b99794a0beed.png,0.7675,"Severe Defocus Blur (NormLap=33.8 < 8.0, RawLap=3.42, Tenengrad=103.6)",0.4684,0.3686,1.0,0.9516,1.0,1.0,1.0
aptos_bb08949dd70a,aptos_bb08949dd70a.png,0.7146,"Severe Defocus Blur (NormLap=7.1 < 8.0, RawLap=11.13, Tenengrad=436.8)",0.3489,0.4798,1.0,0.9038,0.9839,0.6745,1.0
aptos_bc23f74e14dd,aptos_bc23f74e14dd.png,0.723,Severe Underexposure (Retinal Mean Intensity=35.5 < 40.0),0.5664,0.1834,0.808,0.9313,1.0,0.8961,1.0
aptos_bda8c973b09d,aptos_bda8c973b09d.png,0.7794,"Severe Defocus Blur (NormLap=35.8 < 8.0, RawLap=3.63, Tenengrad=49.8)",0.3682,0.8815,0.7338,0.9502,1.0,1.0,1.0
aptos_be521870a0ea,aptos_be521870a0ea.png,0.6913,"Severe Defocus Blur (NormLap=5.7 < 8.0, RawLap=8.92, Tenengrad=208.4)",0.2298,0.5458,1.0,0.9206,0.9839,0.6238,1.0
aptos_beeca5f14618,aptos_beeca5f14618.png,0.7118,"Severe Defocus Blur (NormLap=6.3 < 8.0, RawLap=9.79, Tenengrad=348.6)",0.3126,0.5482,1.0,0.9128,0.9839,0.6252,1.0
aptos_bfe467b7e997,aptos_bfe467b7e997.png,0.7868,"Severe Defocus Blur (NormLap=37.4 < 8.0, RawLap=3.79, Tenengrad=62.6)",0.4165,0.943,0.6423,0.9493,1.0,1.0,1.0
aptos_c613db1cab27,aptos_c613db1cab27.png,0.7873,"Severe Defocus Blur (NormLap=38.5 < 8.0, RawLap=3.91, Tenengrad=54.9)",0.4043,0.995,0.6138,0.9487,1.0,1.0,1.0
aptos_c68dfa021d62,aptos_c68dfa021d62.png,0.7925,"Severe Defocus Blur (NormLap=35.6 < 8.0, RawLap=3.61, Tenengrad=48.5)",0.3662,0.8013,0.9048,0.9506,1.0,1.0,1.0
aptos_c7c0470bcf87,aptos_c7c0470bcf87.png,0.6448,Severe Non-Uniform Illumination (Map CoV=0.547 > 0.52),0.6059,0.1539,0.9644,0.9249,0.9981,0.35,0.4843
aptos_ca9c912ebad7,aptos_ca9c912ebad7.png,0.7499,"Severe Defocus Blur (NormLap=35.3 < 8.0, RawLap=3.58, Tenengrad=46.1)",0.3643,0.9987,0.4261,0.9508,1.0,1.0,1.0
aptos_cae51154e1ce,aptos_cae51154e1ce.png,0.6767,Severe Underexposure (Retinal Mean Intensity=39.1 < 40.0),0.6272,0.2821,0.2396,0.9168,1.0,1.0,1.0
aptos_cb75210abebe,aptos_cb75210abebe.png,0.7844,"Severe Defocus Blur (NormLap=38.3 < 8.0, RawLap=3.89, Tenengrad=93.7)",0.4889,0.4488,1.0,0.9484,1.0,1.0,1.0
aptos_ccd6dcb2f568,aptos_ccd6dcb2f568.png,0.7487,Severe Underexposure (Retinal Mean Intensity=34.9 < 40.0),0.9354,0.1327,1.0,0.4278,0.9435,0.606,1.0
aptos_cd29c88c9e36,aptos_cd29c88c9e36.png,0.7252,"Severe Defocus Blur (NormLap=32.4 < 8.0, RawLap=3.28, Tenengrad=75.5); Severe Flash Bleaching (Retinal Mean Intensity=141.5 > 140.0)",0.4054,0.2435,0.9479,0.9519,1.0,1.0,1.0
aptos_cd563556cb57,aptos_cd563556cb57.png,0.7254,"Severe Defocus Blur (NormLap=7.0 < 8.0, RawLap=10.96, Tenengrad=388.6)",0.3301,0.5049,1.0,0.9084,0.9839,0.7877,1.0
aptos_cfd1bd0fcbb4,aptos_cfd1bd0fcbb4.png,0.6733,"Severe Defocus Blur (NormLap=5.0 < 8.0, RawLap=7.87, Tenengrad=238.8)",0.2517,0.3923,1.0,0.9261,0.984,0.6129,1.0
aptos_cfdbaef73a8b,aptos_cfdbaef73a8b.png,0.7396,"Severe Defocus Blur (NormLap=6.8 < 8.0, RawLap=10.70, Tenengrad=441.2)",0.3505,0.6259,1.0,0.9083,0.984,0.6965,1.0
aptos_d160ebef4117,aptos_d160ebef4117.png,0.7116,"Severe Defocus Blur (NormLap=6.0 < 8.0, RawLap=9.42, Tenengrad=206.3)",0.2282,0.5928,1.0,0.9223,0.984,0.7585,1.0
aptos_d25b8a8ad3c4,aptos_d25b8a8ad3c4.png,0.6442,Severe Underexposure (Retinal Mean Intensity=35.8 < 40.0),0.5722,0.2168,0.178,0.9307,0.999,0.9902,1.0
aptos_d2ffe9287dc7,aptos_d2ffe9287dc7.png,0.8475,"Severe Defocus Blur (NormLap=38.8 < 8.0, RawLap=3.93, Tenengrad=67.1)",0.4385,0.9838,0.9701,0.9484,1.0,1.0,1.0
aptos_d4583e9525dc,aptos_d4583e9525dc.png,0.6565,Severe Underexposure (Retinal Mean Intensity=31.4 < 40.0),0.9194,0.0,0.4688,0.3512,0.9424,0.798,1.0
aptos_d6130f2ec903,aptos_d6130f2ec903.png,0.7145,"Severe Defocus Blur (NormLap=6.7 < 8.0, RawLap=10.51, Tenengrad=269.5)",0.2711,0.451,1.0,0.9111,0.9839,0.9041,1.0
aptos_d66b6f333dc7,aptos_d66b6f333dc7.png,0.8236,"Severe Defocus Blur (NormLap=35.4 < 8.0, RawLap=3.59, Tenengrad=63.2)",0.4026,0.9711,0.8812,0.9509,1.0,1.0,1.0
aptos_d83d0695e215,aptos_d83d0695e215.png,0.7987,"Severe Defocus Blur (NormLap=39.3 < 8.0, RawLap=3.98, Tenengrad=53.7)",0.4063,0.8403,0.8419,0.9479,1.0,1.0,1.0
aptos_d8404680bba6,aptos_d8404680bba6.png,0.6818,Severe Non-Uniform Illumination (Map CoV=0.540 > 0.52),0.6513,0.5495,0.8485,0.9217,0.998,0.35,0.3237
aptos_d844a7252f4e,aptos_d844a7252f4e.png,0.7608,"Severe Defocus Blur (NormLap=37.7 < 8.0, RawLap=3.82, Tenengrad=92.9)",0.4826,0.3019,1.0,0.9486,1.0,1.0,1.0
aptos_d91635f380b4,aptos_d91635f380b4.png,0.6666,Severe Underexposure (Retinal Mean Intensity=37.6 < 40.0),0.8958,0.251,0.1294,0.4743,0.9424,0.9676,1.0
aptos_daad7b617f21,aptos_daad7b617f21.png,0.7431,"Severe Defocus Blur (NormLap=7.0 < 8.0, RawLap=10.94, Tenengrad=215.8)",0.2354,0.676,1.0,0.9142,0.9839,0.9382,1.0
aptos_dcc6c0ad5cad,aptos_dcc6c0ad5cad.png,0.6466,"Severe Defocus Blur (NormLap=22.0 < 8.0, RawLap=3.45, Tenengrad=32.4)",0.2278,0.3742,0.59,0.9532,0.9983,1.0,1.0
aptos_dd110d2b8c21,aptos_dd110d2b8c21.png,0.8002,"Severe Defocus Blur (NormLap=32.6 < 8.0, RawLap=3.30, Tenengrad=112.1)",0.4706,0.5821,1.0,0.9521,1.0,1.0,1.0
aptos_dd3176bacfe2,aptos_dd3176bacfe2.png,0.6921,"Severe Defocus Blur (NormLap=4.6 < 8.0, RawLap=7.16, Tenengrad=220.2)",0.2387,0.5909,1.0,0.931,0.984,0.5306,1.0
aptos_df84e7113003,aptos_df84e7113003.png,0.8106,"Severe Defocus Blur (NormLap=36.0 < 8.0, RawLap=3.65, Tenengrad=55.7)",0.3873,0.9384,0.8527,0.9506,1.0,1.0,1.0
aptos_dfea19863428,aptos_dfea19863428.png,0.7022,"Severe Defocus Blur (NormLap=6.4 < 8.0, RawLap=10.03, Tenengrad=221.7)",0.2397,0.4828,1.0,0.9183,0.984,0.8041,1.0
aptos_e03a74e7d74f,aptos_e03a74e7d74f.png,0.7835,Severe Underexposure (Retinal Mean Intensity=39.6 < 40.0),0.9091,0.2928,1.0,0.4154,0.9452,0.7903,1.0
aptos_e1418d28d668,aptos_e1418d28d668.png,0.625,Severe Underexposure (Retinal Mean Intensity=31.6 < 40.0),0.5644,0.0714,0.2017,0.9319,0.9985,1.0,1.0
aptos_e251bdf05b85,aptos_e251bdf05b85.png,0.6525,"Severe Defocus Blur (NormLap=7.0 < 8.0, RawLap=10.95, Tenengrad=204.2)",0.2265,0.4522,1.0,0.9161,0.9839,0.3891,1.0
aptos_e25ccfe38e44,aptos_e25ccfe38e44.png,0.6878,"Severe Defocus Blur (NormLap=6.4 < 8.0, RawLap=10.06, Tenengrad=264.8)",0.2683,0.4669,1.0,0.9173,0.9839,0.6134,1.0
aptos_e26d8718ca58,aptos_e26d8718ca58.png,0.6766,"Severe Defocus Blur (NormLap=7.4 < 8.0, RawLap=11.58, Tenengrad=314.3)",0.2959,0.4398,1.0,0.9106,0.9839,0.4796,1.0
aptos_e2ec22b3d07e,aptos_e2ec22b3d07e.png,0.6856,"Severe Defocus Blur (NormLap=7.1 < 8.0, RawLap=11.13, Tenengrad=326.3)",0.302,0.4419,1.0,0.9104,0.9839,0.5515,1.0
aptos_e30a890600e1,aptos_e30a890600e1.png,0.7156,"Severe Defocus Blur (NormLap=5.7 < 8.0, RawLap=8.94, Tenengrad=285.9)",0.2807,0.5209,1.0,0.9177,0.984,0.7791,1.0
aptos_e5197d77ec68,aptos_e5197d77ec68.png,0.7341,"Severe Defocus Blur (NormLap=6.1 < 8.0, RawLap=9.49, Tenengrad=378.4)",0.3258,0.679,1.0,0.9179,0.9839,0.6138,1.0
aptos_e5de79795c1d,aptos_e5de79795c1d.png,0.6838,"Severe Defocus Blur (NormLap=7.7 < 8.0, RawLap=12.11, Tenengrad=387.7)",0.3297,0.4887,1.0,0.9025,0.9839,0.402,1.0
aptos_e68746d426b2,aptos_e68746d426b2.png,0.7129,"Severe Defocus Blur (NormLap=6.9 < 8.0, RawLap=10.84, Tenengrad=420.0)",0.3426,0.5741,1.0,0.9073,0.984,0.5276,1.0
aptos_e821c1b6417a,aptos_e821c1b6417a.png,0.6331,Severe Underexposure (Retinal Mean Intensity=31.1 < 40.0),0.562,0.0,0.4555,0.9323,0.9997,0.8104,1.0
aptos_e9faf0296643,aptos_e9faf0296643.png,0.7233,"Severe Corneal Glare Artifacts (7 blobs, 1.00% saturation)",0.8496,0.6759,0.7735,0.9051,0.9872,0.5486,0.0
aptos_ea6a53e54d0f,aptos_ea6a53e54d0f.png,0.7057,"Severe Defocus Blur (NormLap=7.4 < 8.0, RawLap=11.54, Tenengrad=460.5)",0.3574,0.514,1.0,0.9049,0.9839,0.5121,1.0
aptos_eabc7c716255,aptos_eabc7c716255.png,0.7095,"Severe Defocus Blur (NormLap=4.1 < 8.0, RawLap=6.42, Tenengrad=177.2)",0.2037,0.5417,1.0,0.9322,0.9839,0.8646,1.0
aptos_eb175669d789,aptos_eb175669d789.png,0.6872,"Severe Defocus Blur (NormLap=6.2 < 8.0, RawLap=9.67, Tenengrad=250.9)",0.2596,0.4851,1.0,0.9186,0.9839,0.6009,1.0
aptos_ed2ef440d22c,aptos_ed2ef440d22c.png,0.6515,"Severe Defocus Blur (NormLap=7.0 < 8.0, RawLap=10.90, Tenengrad=149.2)",0.176,0.4939,0.8011,0.9157,0.984,0.7408,1.0
aptos_ed648b9bcd95,aptos_ed648b9bcd95.png,0.6368,"Severe Defocus Blur (NormLap=6.6 < 8.0, RawLap=10.38, Tenengrad=184.8)",0.2104,0.4963,0.5073,0.9173,0.984,0.9435,1.0
aptos_f233638e0e90,aptos_f233638e0e90.png,0.682,"Severe Defocus Blur (NormLap=6.4 < 8.0, RawLap=9.99, Tenengrad=234.7)",0.2489,0.456,1.0,0.9184,0.9839,0.619,1.0
aptos_f2ee81781411,aptos_f2ee81781411.png,0.7654,"Severe Defocus Blur (NormLap=37.5 < 8.0, RawLap=3.80, Tenengrad=65.4)",0.4244,0.4297,1.0,0.9487,1.0,1.0,1.0
aptos_f580566e27f5,aptos_f580566e27f5.png,0.7116,"Severe Defocus Blur (NormLap=6.6 < 8.0, RawLap=10.38, Tenengrad=307.3)",0.2923,0.5938,1.0,0.9153,0.984,0.6037,1.0
aptos_f583a722434c,aptos_f583a722434c.png,0.6874,Severe Underexposure (Retinal Mean Intensity=38.4 < 40.0),0.5759,0.0,1.0,0.9302,0.9991,0.5058,1.0
aptos_f8372e80f731,aptos_f8372e80f731.png,0.8139,"Severe Defocus Blur (NormLap=34.2 < 8.0, RawLap=3.47, Tenengrad=91.3)",0.4517,0.7055,1.0,0.9514,1.0,1.0,1.0
aptos_f8d62557ad0c,aptos_f8d62557ad0c.png,0.7066,"Severe Defocus Blur (NormLap=6.0 < 8.0, RawLap=9.34, Tenengrad=179.7)",0.2059,0.587,0.8853,0.9201,0.9839,0.9462,1.0
aptos_f8f5942b690e,aptos_f8f5942b690e.png,0.7325,"Severe Defocus Blur (NormLap=7.3 < 8.0, RawLap=11.38, Tenengrad=243.1)",0.2546,0.7131,1.0,0.9121,0.984,0.7311,1.0
aptos_fb767cea406c,aptos_fb767cea406c.png,0.5874,"Severe Defocus Blur (NormLap=4.9 < 8.0, RawLap=7.63, Tenengrad=103.7)",0.1175,0.41,0.4178,0.9281,0.9839,0.9345,1.0
aptos_fc4d69128e7c,aptos_fc4d69128e7c.png,0.797,Severe Non-Uniform Illumination (Map CoV=0.529 > 0.52),0.7686,0.6438,0.8794,0.9146,0.9993,0.35,1.0
aptos_fe3b0e50be78,aptos_fe3b0e50be78.png,0.6615,"Severe Defocus Blur (NormLap=6.1 < 8.0, RawLap=9.56, Tenengrad=315.9)",0.2967,0.4334,1.0,0.9167,0.9839,0.3309,1.0
aptos_ffec9a18a3ce,aptos_ffec9a18a3ce.png,0.6907,Severe Underexposure (Retinal Mean Intensity=32.3 < 40.0),0.5567,0.0,0.7557,0.9326,1.0,0.949,1.0
test_IDRiD_001,test_IDRiD_001.jpg,0.7011,Severe Underexposure (Retinal Mean Intensity=39.7 < 40.0),0.707,0.2946,0.2532,0.9222,1.0,1.0,1.0
test_IDRiD_083,test_IDRiD_083.jpg,0.7596,Excessive Darkness (Dark Pixel Pct=20.3% > 18.0%),0.8014,0.5616,0.7532,0.9064,0.9621,0.271,1.0
train_IDRiD_030,train_IDRiD_030.jpg,0.736,Severe Underexposure (Retinal Mean Intensity=39.7 < 40.0),0.7615,0.2945,0.404,0.9088,1.0,1.0,1.0
train_IDRiD_184,train_IDRiD_184.jpg,0.8223,Severe Non-Uniform Illumination (Map CoV=0.640 > 0.52),0.8967,0.8542,0.7646,0.7575,1.0,0.295,1.0
train_IDRiD_274,train_IDRiD_274.jpg,0.7537,Severe Underexposure (Retinal Mean Intensity=35.7 < 40.0),0.8098,0.1878,0.9661,0.8861,1.0,0.395,1.0
