image_id,filename,original_status,original_overall_score,final_status,final_overall_score,focus_score,brightness_score,contrast_score,noise_score,fov_score,illumination_score,artifact_score,raw_focus_metrics,raw_brightness_metrics,raw_contrast_metrics,raw_noise_metrics,raw_fov_metrics,raw_illumination_metrics,raw_artifact_metrics,detected_problems,hard_failure,hard_failure_reasons,enhancement_required,enhancement_applied,enhancement_operations,post_enhancement_status,post_enhancement_score,score_delta,ok_to_go,recapture_required,feedback,final_reason,processing_time_ms
aptos_00cc2b75cddd,aptos_00cc2b75cddd.png,NON-CRITICAL,0.8572,NON-CRITICAL,0.9193,0.8581,0.9718,1.0,0.5906,1.0,1.0,1.0,"{""var_laplacian"": 46.53, ""laplacian_energy"": 46.53, ""tenengrad"": 674.47, ""sobel_mean"": 15.63}","{""mean"": 93.77, ""median"": 95.0, ""p5"": 71.0, ""p95"": 120.0, ""dark_pct"": 3.93, ""bright_pct"": 0.0}","{""rms"": 24.22, ""grayscale_std"": 24.22, ""spread_p95_p5"": 49.0, ""michelson"": 0.257}","{""residual_std"": 1.88, ""residual_mad"": 1.02, ""local_var_mean"": 26.95}","{""coverage"": 0.821, ""circularity"": 0.99, ""aspect_ratio"": 1.0, ""border_clipped"": true}","{""center_edge_ratio"": 1.186, ""center_edge_diff"": 16.87, ""map_cov"": 0.223}","{""sat_pixel_pct"": 0.0, ""glare_blob_count"": 0, ""glare_max_area"": 0}",None,False,None,False,False,None,NOT_APPLICABLE,0.9193,0.0,True,False,"All 7 quality dimensions within acceptable clinical limits (Overall Score = 0.919 >= 0.7, Min Dimension = 0.591)","Original image meets acceptable clinical quality standards; enhancement not needed (All 7 quality dimensions within acceptable clinical limits (Overall Score = 0.919 >= 0.7, Min Dimension = 0.591))",0.95
aptos_00e4ddff966a,aptos_00e4ddff966a.png,NON-CRITICAL,0.8572,NON-CRITICAL,0.8257,0.637,0.4952,1.0,0.9219,1.0,1.0,1.0,"{""var_laplacian"": 8.53, ""laplacian_energy"": 8.53, ""tenengrad"": 160.25, ""sobel_mean"": 9.31}","{""mean"": 127.74, ""median"": 127.0, ""p5"": 108.0, ""p95"": 153.0, ""dark_pct"": 0.72, ""bright_pct"": 0.0}","{""rms"": 17.59, ""grayscale_std"": 17.59, ""spread_p95_p5"": 45.0, ""michelson"": 0.172}","{""residual_std"": 0.86, ""residual_mad"": 0.51, ""local_var_mean"": 6.54}","{""coverage"": 0.839, ""circularity"": 0.927, ""aspect_ratio"": 1.305, ""border_clipped"": true}","{""center_edge_ratio"": 1.174, ""center_edge_diff"": 20.77, ""map_cov"": 0.148}","{""sat_pixel_pct"": 0.0, ""glare_blob_count"": 0, ""glare_max_area"": 0}",None,False,None,False,False,None,NOT_APPLICABLE,0.8257,0.0,True,False,"All 7 quality dimensions within acceptable clinical limits (Overall Score = 0.826 >= 0.7, Min Dimension = 0.495)","Original image meets acceptable clinical quality standards; enhancement not needed (All 7 quality dimensions within acceptable clinical limits (Overall Score = 0.826 >= 0.7, Min Dimension = 0.495))",0.83
aptos_00f6c1be5a33,aptos_00f6c1be5a33.png,NON-CRITICAL,0.8572,NON-CRITICAL,0.9198,0.8876,0.9684,1.0,0.5265,1.0,1.0,1.0,"{""var_laplacian"": 51.54, ""laplacian_energy"": 51.54, ""tenengrad"": 620.51, ""sobel_mean"": 16.08}","{""mean"": 94.22, ""median"": 94.0, ""p5"": 74.0, ""p95"": 122.0, ""dark_pct"": 2.97, ""bright_pct"": 0.0}","{""rms"": 21.82, ""grayscale_std"": 21.82, ""spread_p95_p5"": 48.0, ""michelson"": 0.245}","{""residual_std"": 1.98, ""residual_mad"": 1.14, ""local_var_mean"": 22.51}","{""coverage"": 0.813, ""circularity"": 0.99, ""aspect_ratio"": 1.0, ""border_clipped"": true}","{""center_edge_ratio"": 1.289, ""center_edge_diff"": 25.93, ""map_cov"": 0.198}","{""sat_pixel_pct"": 0.0, ""glare_blob_count"": 0, ""glare_max_area"": 0}",None,False,None,False,False,None,NOT_APPLICABLE,0.9198,0.0,True,False,"All 7 quality dimensions within acceptable clinical limits (Overall Score = 0.920 >= 0.7, Min Dimension = 0.527)","Original image meets acceptable clinical quality standards; enhancement not needed (All 7 quality dimensions within acceptable clinical limits (Overall Score = 0.920 >= 0.7, Min Dimension = 0.527))",0.77
aptos_0104b032c141,aptos_0104b032c141.png,NON-CRITICAL,0.8572,NON-CRITICAL,0.9034,0.7023,0.9079,1.0,0.9161,1.0,1.0,1.0,"{""var_laplacian"": 9.9, ""laplacian_energy"": 9.9, ""tenengrad"": 184.17, ""sobel_mean"": 10.42}","{""mean"": 102.28, ""median"": 100.0, ""p5"": 79.0, ""p95"": 142.0, ""dark_pct"": 0.67, ""bright_pct"": 0.0}","{""rms"": 21.58, ""grayscale_std"": 21.58, ""spread_p95_p5"": 63.0, ""michelson"": 0.285}","{""residual_std"": 0.92, ""residual_mad"": 0.57, ""local_var_mean"": 7.23}","{""coverage"": 0.839, ""circularity"": 0.927, ""aspect_ratio"": 1.302, ""border_clipped"": true}","{""center_edge_ratio"": 1.131, ""center_edge_diff"": 12.61, ""map_cov"": 0.182}","{""sat_pixel_pct"": 0.0, ""glare_blob_count"": 0, ""glare_max_area"": 0}",None,False,None,False,False,None,NOT_APPLICABLE,0.9034,0.0,True,False,"All 7 quality dimensions within acceptable clinical limits (Overall Score = 0.903 >= 0.7, Min Dimension = 0.702)","Original image meets acceptable clinical quality standards; enhancement not needed (All 7 quality dimensions within acceptable clinical limits (Overall Score = 0.903 >= 0.7, Min Dimension = 0.702))",1.03
aptos_0124dffecf29,aptos_0124dffecf29.png,NON-CRITICAL,0.8572,NON-CRITICAL,0.8451,0.6154,0.6499,1.0,0.9375,1.0,1.0,1.0,"{""var_laplacian"": 5.62, ""laplacian_energy"": 5.62, ""tenengrad"": 106.31, ""sobel_mean"": 7.82}","{""mean"": 120.0, ""median"": 121.0, ""p5"": 100.0, ""p95"": 140.0, ""dark_pct"": 0.92, ""bright_pct"": 0.0}","{""rms"": 16.99, ""grayscale_std"": 16.99, ""spread_p95_p5"": 40.0, ""michelson"": 0.167}","{""residual_std"": 0.69, ""residual_mad"": 0.38, ""local_var_mean"": 4.49}","{""coverage"": 0.751, ""circularity"": 0.933, ""aspect_ratio"": 1.273, ""border_clipped"": true}","{""center_edge_ratio"": 1.05, ""center_edge_diff"": 5.92, ""map_cov"": 0.171}","{""sat_pixel_pct"": 0.0, ""glare_blob_count"": 0, ""glare_max_area"": 0}",None,False,None,False,False,None,NOT_APPLICABLE,0.8451,0.0,True,False,"All 7 quality dimensions within acceptable clinical limits (Overall Score = 0.845 >= 0.7, Min Dimension = 0.615)","Original image meets acceptable clinical quality standards; enhancement not needed (All 7 quality dimensions within acceptable clinical limits (Overall Score = 0.845 >= 0.7, Min Dimension = 0.615))",2.14
aptos_0125fbd2e791,aptos_0125fbd2e791.png,NON-CRITICAL,0.8572,NON-CRITICAL,0.9134,0.8818,0.9298,1.0,0.535,1.0,1.0,1.0,"{""var_laplacian"": 50.51, ""laplacian_energy"": 50.51, ""tenengrad"": 646.87, ""sobel_mean"": 15.94}","{""mean"": 99.36, ""median"": 101.0, ""p5"": 75.0, ""p95"": 122.0, ""dark_pct"": 3.11, ""bright_pct"": 0.0}","{""rms"": 23.49, ""grayscale_std"": 23.49, ""spread_p95_p5"": 47.0, ""michelson"": 0.239}","{""residual_std"": 1.96, ""residual_mad"": 1.09, ""local_var_mean"": 23.92}","{""coverage"": 0.814, ""circularity"": 0.987, ""aspect_ratio"": 1.0, ""border_clipped"": true}","{""center_edge_ratio"": 1.153, ""center_edge_diff"": 14.58, ""map_cov"": 0.205}","{""sat_pixel_pct"": 0.0, ""glare_blob_count"": 0, ""glare_max_area"": 0}",None,False,None,False,False,None,NOT_APPLICABLE,0.9134,0.0,True,False,"All 7 quality dimensions within acceptable clinical limits (Overall Score = 0.913 >= 0.7, Min Dimension = 0.535)","Original image meets acceptable clinical quality standards; enhancement not needed (All 7 quality dimensions within acceptable clinical limits (Overall Score = 0.913 >= 0.7, Min Dimension = 0.535))",0.89
aptos_012a242ac6ff,aptos_012a242ac6ff.png,NON-CRITICAL,0.8572,NON-CRITICAL,0.8745,0.7626,0.9815,0.6767,0.8516,1.0,1.0,1.0,"{""var_laplacian"": 21.98, ""laplacian_energy"": 21.98, ""tenengrad"": 137.27, ""sobel_mean"": 9.94}","{""mean"": 92.47, ""median"": 92.0, ""p5"": 79.0, ""p95"": 111.0, ""dark_pct"": 0.7, ""bright_pct"": 0.0}","{""rms"": 13.06, ""grayscale_std"": 13.06, ""spread_p95_p5"": 32.0, ""michelson"": 0.168}","{""residual_std"": 1.24, ""residual_mad"": 0.91, ""local_var_mean"": 4.03}","{""coverage"": 0.751, ""circularity"": 0.935, ""aspect_ratio"": 1.267, ""border_clipped"": true}","{""center_edge_ratio"": 1.109, ""center_edge_diff"": 9.6, ""map_cov"": 0.133}","{""sat_pixel_pct"": 0.0, ""glare_blob_count"": 0, ""glare_max_area"": 0}",None,False,None,False,False,None,NOT_APPLICABLE,0.8745,0.0,True,False,"All 7 quality dimensions within acceptable clinical limits (Overall Score = 0.875 >= 0.7, Min Dimension = 0.677)","Original image meets acceptable clinical quality standards; enhancement not needed (All 7 quality dimensions within acceptable clinical limits (Overall Score = 0.875 >= 0.7, Min Dimension = 0.677))",0.67
aptos_014508ccb9cb,aptos_014508ccb9cb.png,NON-CRITICAL,0.8572,CRITICAL,0.6819,0.2773,0.6269,1.0,0.9016,0.9839,0.3082,1.0,"{""var_laplacian"": 14.55, ""laplacian_energy"": 14.55, ""tenengrad"": 279.99, ""sobel_mean"": 11.19}","{""mean"": 57.61, ""median"": 52.0, ""p5"": 24.0, ""p95"": 117.0, ""dark_pct"": 2.67, ""bright_pct"": 0.0}","{""rms"": 26.86, ""grayscale_std"": 26.86, ""spread_p95_p5"": 93.0, ""michelson"": 0.66}","{""residual_std"": 1.08, ""residual_mad"": 0.64, ""local_var_mean"": 11.52}","{""coverage"": 0.802, ""circularity"": 0.958, ""aspect_ratio"": 1.239, ""border_clipped"": true}","{""center_edge_ratio"": 0.92, ""center_edge_diff"": 4.79, ""map_cov"": 0.533}","{""sat_pixel_pct"": 0.0, ""glare_blob_count"": 0, ""glare_max_area"": 0}",Severe Non-Uniform Illumination (Map CoV=0.533 > 0.52),True,Severe Non-Uniform Illumination (Map CoV=0.533 > 0.52),False,False,None,NOT_APPLICABLE,0.6819,0.0,False,True,Hard Failure Triggered: Severe Non-Uniform Illumination (Map CoV=0.533 > 0.52),Original image triggered non-recoverable CRITICAL quality failure; enhancement bypassed (Hard Failure Triggered: Severe Non-Uniform Illumination (Map CoV=0.533 > 0.52)),0.66
aptos_0151781fe50b,aptos_0151781fe50b.png,NON-CRITICAL,0.8572,NON-CRITICAL,0.8848,0.868,0.6902,1.0,0.7236,0.949,0.9958,1.0,"{""var_laplacian"": 35.0, ""laplacian_energy"": 35.0, ""tenengrad"": 264.21, ""sobel_mean"": 13.46}","{""mean"": 117.99, ""median"": 117.0, ""p5"": 101.0, ""p95"": 138.0, ""dark_pct"": 0.96, ""bright_pct"": 0.0}","{""rms"": 18.17, ""grayscale_std"": 18.17, ""spread_p95_p5"": 37.0, ""michelson"": 0.155}","{""residual_std"": 1.59, ""residual_mad"": 1.16, ""local_var_mean"": 8.27}","{""coverage"": 0.479, ""circularity"": 0.997, ""aspect_ratio"": 1.0, ""border_clipped"": false}","{""center_edge_ratio"": 0.992, ""center_edge_diff"": 0.94, ""map_cov"": 0.191}","{""sat_pixel_pct"": 0.0, ""glare_blob_count"": 0, ""glare_max_area"": 0}",None,False,None,False,False,None,NOT_APPLICABLE,0.8848,0.0,True,False,"All 7 quality dimensions within acceptable clinical limits (Overall Score = 0.885 >= 0.7, Min Dimension = 0.690)","Original image meets acceptable clinical quality standards; enhancement not needed (All 7 quality dimensions within acceptable clinical limits (Overall Score = 0.885 >= 0.7, Min Dimension = 0.690))",0.67
aptos_0161338f53cc,aptos_0161338f53cc.png,NON-CRITICAL,0.8572,NON-CRITICAL,0.9223,0.8318,0.9046,1.0,0.7861,1.0,1.0,1.0,"{""var_laplacian"": 32.74, ""laplacian_energy"": 32.74, ""tenengrad"": 263.85, ""sobel_mean"": 11.25}","{""mean"": 102.72, ""median"": 102.0, ""p5"": 86.0, ""p95"": 120.0, ""dark_pct"": 0.98, ""bright_pct"": 0.0}","{""rms"": 16.06, ""grayscale_std"": 16.06, ""spread_p95_p5"": 34.0, ""michelson"": 0.165}","{""residual_std"": 1.42, ""residual_mad"": 1.01, ""local_var_mean"": 11.0}","{""coverage"": 0.742, ""circularity"": 0.934, ""aspect_ratio"": 1.263, ""border_clipped"": true}","{""center_edge_ratio"": 1.14, ""center_edge_diff"": 13.86, ""map_cov"": 0.157}","{""sat_pixel_pct"": 0.0, ""glare_blob_count"": 0, ""glare_max_area"": 0}",None,False,None,False,False,None,NOT_APPLICABLE,0.9223,0.0,True,False,"All 7 quality dimensions within acceptable clinical limits (Overall Score = 0.922 >= 0.7, Min Dimension = 0.786)","Original image meets acceptable clinical quality standards; enhancement not needed (All 7 quality dimensions within acceptable clinical limits (Overall Score = 0.922 >= 0.7, Min Dimension = 0.786))",0.61
